1,Portland,OR,75,5
2,San Diego,CA,95,3
3,New York,NY,149,37
4,Los Angeles,CA,199,45
5,Denver,CO,56,99
6,Denver,CO,65,83
7,Denver,CO,80,0
8,New York,NY,125,26
9,New York,NY,85,32
10,New York,NY,110,29
11,New York,NY,98,36
12,San Francisco,CA,165,13
13,Minneapolis,MN,250,0
14,Phoenix,AZ,400,0
15,Denver,CO,95,1
16,Denver,CO,95,0
17,Minneapolis,MN,230,0
18,Denver,CO,145,0
19,Sausalito,CA,120,11
20,Miami,FL,99,47
21,New York,NY,150,57
22,Austin,TX,150,8
23,New York,NY,110,99
24,Minneapolis,MN,95,49
25,Portland,OR,47,31
26,New York,NY,70,3
27,New York,NY,99,79
28,Denver,CO,70,34
29,New Haven,CT,64,37
30,New York,NY,119,6
31,Austin,TX,125,2
32,Santa Monica,CA,100,2
33,Honolulu,HI,65,69
34,New York,NY,225,10
35,Tucson,AZ,57,21
36,Oakland,CA,90,0
37,New York,NY,79,11
38,New York,NY,189,23
39,Queens,NY,100,23
40,Oakland,CA,80,25
41,Los Angeles,CA,125,99
42,Washington,DC,125,91
43,New York,NY,160,26
44,Las Vegas,NV,80,99
45,Seattle,WA,228,3
46,Alexandria,VA,85,9
47,Arlington,VA,80,16
48,Washington,DC,275,5
49,Brooklyn,NY,109,37
50,Washington,DC,187,1
51,Washington,DC,100,99
52,Las Vegas,NV,80,50
53,Washington,DC,65,69
54,Alexandria,VA,90,1
55,Washington,DC,185,7
56,Silver Spring,MD,100,12
57,Silver Spring,MD,129,6
58,Silver Spring,MD,64,99
59,Silver Spring,MD,75,96
60,Alexandria,VA,300,0
61,Washington,DC,150,1
62,Washington,DC,152,84
63,Chicago,IL,109,99
64,Minneapolis,MN,45,55
65,Brooklyn,NY,180,3
66,Pittsburgh,PA,179,47
67,Pittsburgh,PA,115,38
68,Washington,DC,105,1
69,Orlando,FL,69,2
70,Palo Alto,CA,95,28
71,New York,NY,179,36
72,New York,NY,115,74
73,New York,NY,140,99
74,Long Island City,NY,87,99
75,Portland,OR,125,10
76,New York,NY,160,99
77,Brooklyn,NY,250,25
78,New York,NY,185,28
79,Brooklyn,NY,80,31
80,New York,NY,89,99
81,New York,NY,200,15
82,San Francisco,CA,135,74
83,New York,NY,190,25
84,New York,NY,165,64
85,New York,NY,140,50
86,Austin,TX,95,3
87,Brooklyn,NY,125,33
88,New York,NY,325,0
89,New York,NY,100,95
90,New York,NY,125,14
91,Miami Beach,FL,99,3
92,New Orleans,LA,95,45
93,Santa Monica,CA,85,36
94,Indianapolis,IN,1000,1
95,Venice,CA,167,3
96,Los Angeles,CA,175,0
97,Los Angeles,CA,50,36
98,Los Angeles,CA,75,18
99,Miami Beach,FL,39,3
100,Boston,MA,175,50
101,Austin,TX,95,99
102,New York,NY,230,19
103,Mill Valley,CA,200,36
104,Brooklyn,NY,140,99
105,Boston,MA,145,27
106,New York,NY,245,4
107,Austin,TX,350,3
