pi,time
3.1224,16.402110815
3.1324,16.9366621971
3.1492,21.4771409035
3.1352,25.112402916
3.1336,16.3527748585
3.14032,80.6109149456
3.13928,79.850383997
3.13944,81.0626499653
3.14232,80.0443902016
3.13416,80.4746370316
3.14672,79.8120241165
3.14696,80.907063961
3.13536,80.3959159851
3.14128,80.3370058537
3.13824,80.6922430992
3.14592,82.3282709122
3.14872,82.056926012
3.13504,83.3631820679
3.13752,78.8392391205
3.13256,79.6516590118
3.14352,79.2980780602
3.13648,81.4996800423
3.14568,80.0445420742
3.15392,80.3540949821
3.13952,79.7071368694
3.14808,79.6956009865
3.14976,84.0057561398
